Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_0001,Negligible/minor,-0.435,DNA polymerase III subunit beta (EC 2.7.7.7),N/A,8.71E-04,4.19E-03,-0.179893604,No,non-essential
Synpcc7942_0002,Decrease,-1.059,Uncharacterized protein,N/A,2.29E-29,1.16E-27,-0.319609147,No,non-essential
Synpcc7942_0003,ND (below stat. threshold of conf.),-0.129,Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II),N/A,5.82E-01,7.08E-01,0.201037572,No,ambiguous
Synpcc7942_0004,Not analyzed,,amidophosphoribosyltransferase,purF,,,0.694123047,Yes,essential
Synpcc7942_0005,ND (below stat. threshold of conf.),-0.084,Uncharacterized protein,N/A,2.10E-01,3.51E-01,-0.347828264,No,non-essential
Synpcc7942_0006,Moderate increase,0.762,Uncharacterized protein,N/A,4.73E-08,4.57E-07,0.017801639,No,non-essential
Synpcc7942_0007,Increase,1.136,Uncharacterized protein,N/A,2.18E-12,3.29E-11,-0.020010149,No,non-essential
Synpcc7942_0008,Moderate increase,0.951,Uncharacterized protein,N/A,2.35E-12,3.51E-11,0.143971556,No,non-essential
Synpcc7942_0009,Not analyzed,,argininosuccinate synthase,argG,,,0.225095609,No,essential
Synpcc7942_0010,Negligible/minor,0.469,Uncharacterized protein,N/A,2.67E-05,1.75E-04,0.228885386,No,non-essential
Synpcc7942_0011,ND (below stat. threshold of conf.),0.223,Uncharacterized protein,N/A,4.06E-02,1.01E-01,0.059174533,No,non-essential
Synpcc7942_0012,Not analyzed,,30S ribosomal protein S6,"rpsF, rps6",,,-0.155980956,Yes,essential
Synpcc7942_0013,ND (below stat. threshold of conf.),0.249,Uncharacterized protein,N/A,6.08E-02,1.39E-01,-1.713781488,Yes,non-essential
Synpcc7942_0014,Not analyzed,,hypothetical protein,N/A,,,-0.186137079,No,non-essential
Synpcc7942_0015,ND (below stat. threshold of conf.),0.066,PKHD-type hydroxylase Synpcc7942_0015 (EC 1.14.11.-),N/A,4.19E-01,5.72E-01,-0.127369832,No,non-essential
Synpcc7942_0016,ND (below stat. threshold of conf.),0.238,Uncharacterized protein,N/A,2.70E-01,4.16E-01,-0.131314672,No,non-essential
Synpcc7942_0017,ND (below stat. threshold of conf.),0.012,2-keto-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14),N/A,9.51E-01,9.70E-01,0.034510996,Yes,beneficial
Synpcc7942_0018,Not analyzed,,glycyl-tRNA synthetase subunit beta,glyS,,,0.033196849,Yes,essential
Synpcc7942_0019,Not analyzed,,"Sulfite reductase, ferredoxin dependent",sir,,,-0.337128274,No,essential
Synpcc7942_0020,ND (below stat. threshold of conf.),-0.011,Uncharacterized protein,N/A,9.10E-01,9.44E-01,-0.134928017,No,non-essential
Synpcc7942_0021,Not analyzed,,cobalt-precorrin-6x reductase,cobK,,,0.128179711,No,essential
Synpcc7942_0022,ND (below stat. threshold of conf.),-0.049,Uncharacterized protein,N/A,5.15E-01,6.52E-01,0.099122551,No,non-essential
Synpcc7942_0023,ND (below stat. threshold of conf.),-0.170,Calcium/proton exchanger,N/A,3.96E-02,9.88E-02,0.11225189,No,non-essential
Synpcc7942_0024,ND (below stat. threshold of conf.),0.037,Uncharacterized protein,N/A,6.45E-01,7.55E-01,0.033367883,No,non-essential
Synpcc7942_0025,Negligible/minor,-0.176,Uncharacterized protein,N/A,1.41E-03,6.33E-03,0.113806755,No,non-essential
Synpcc7942_0026,ND (below stat. threshold of conf.),-0.138,Uncharacterized protein,N/A,6.36E-02,1.44E-01,0.261424658,No,non-essential
Synpcc7942_0027,Not analyzed,,8-amino-7-oxononanoate synthase,bioF,,,0.028554691,No,essential
Synpcc7942_0028,Not analyzed,,hypothetical protein,N/A,,,0.292849642,No,essential
Synpcc7942_0029,Not analyzed,,hypothetical protein,N/A,,,-0.056509124,No,essential
Synpcc7942_0030,Not analyzed,,dethiobiotin synthase,"bioD, cioD",,,0.223320122,No,essential
Synpcc7942_0031,Not analyzed,,aminotransferase,bioA,,,0.172961335,No,essential
Synpcc7942_0032,ND (below stat. threshold of conf.),-0.313,Uncharacterized protein,N/A,1.56E-01,2.84E-01,-0.822687082,No,non-essential
Synpcc7942_0033,Not analyzed,,hypothetical protein,N/A,,,-0.64943936,No,non-essential
Synpcc7942_0034,Not analyzed,,N-acetylornithine aminotransferase,N/A,,,-0.135635377,No,non-essential
Synpcc7942_0035,ND (below stat. threshold of conf.),-0.290,Uncharacterized protein,N/A,9.95E-03,3.25E-02,-0.497610406,No,non-essential
Synpcc7942_0036,ND (below stat. threshold of conf.),-0.067,Uncharacterized protein,N/A,3.12E-01,4.66E-01,-0.039430683,No,non-essential
Synpcc7942_0037,ND (below stat. threshold of conf.),0.944,Uncharacterized protein,N/A,1.05E-02,3.40E-02,0.901339808,No,non-essential
Synpcc7942_0038,ND (below stat. threshold of conf.),-0.617,Mutator MutT protein,N/A,3.97E-03,1.50E-02,0.170664955,No,non-essential
Synpcc7942_0039,Decrease,-1.356,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",gnd,1.01E-21,3.26E-20,-1.845363105,No,non-essential
Synpcc7942_0040,Not analyzed,,dihydroneopterin aldolase Dihydroneopterin aldolase,folB,,,-0.425543083,No,essential
